code;beschreibung;referenz;umfang;jahr;ek_land
385;Rolex Datejust 41 Black Oyster;126300;Full Set;2026;Deutschland
396;Omega Planet Ocean Chrono ZB blau;232.90.46.51.03.001;Full Set;2014;Deutschland
401;TAG Heuer Link Chrono 150 Year;CJF211E;Garantiekarte;2013;Deutschland
418;IWC Portofino Handaufzug 8 Days Blue;IW510106;Full Set;2015;Deutschland
434;Nomos Ludwig 34 mm;205;Full Set;2011;Deutschland
449;Rolex OP34 blue dial;124200;Full Set;2026;Deutschland
493;Sinn Vollkalender vergoldet;77990;nur Uhr;n.b.;Deutschland
496;Vacheron Constantin Overseas Chronograph white dial;49150;Box;n.b.;Deutschland
497;Sinn 203 Titan Chrono blue dial;203.021;Garantiekarte;1999;Deutschland
504-26;IWC Fliegeruhr Chronograph Bronze;IW387902;Garantiekarte;2020;Deutschland
517-26;Rolex GMT Master 2 Sprite;126720VTNR;Full Set;2023;Deutschland
522-26;Omega Diver 300 Blue steel bracelet;212.30.41.20.03.001;Garantiekarte;n.b.;Deutschland
527-26;TAG Heuer Carrera Chronograph;CBN2A1B.BA0643;Full Set;2020;Deutschland
528-26;Sinn 936;936936010;Full Set;2024;Deutschland
529-26;IWC Portofino Automatic silver dial;IW356517;nur Uhr;2021;Deutschland
530-26;Patek Philippe Twenty~4;4910/10A;Garantiekarte;2010;Deutschland
532-26;Tudor Black Bay Bronze Bucherer Edition;79250BB;nur Uhr;n.b.;Deutschland
538-26;Rolex Datejust 36 Silber mit Dia auf 6 u. 9;116234;Full Set;2014;Deutschland
296;IWC Fliegerchrono triple date;IW377701;nur Uhr;2014;Niederlande
