Handle,Title,Metafield: uhr.referenz [single_line_text_field],Metafield: uhr.baujahr [number_integer],Metafield: uhr.durchmesser [single_line_text_field],Metafield: uhr.gehaeuse [single_line_text_field],Metafield: uhr.zifferblatt [single_line_text_field],Metafield: uhr.band [single_line_text_field],Metafield: uhr.aufzug [single_line_text_field],Metafield: uhr.kaliber [single_line_text_field],Metafield: uhr.zustand [single_line_text_field],Metafield: uhr.lieferumfang [single_line_text_field],Metafield: uhr.geschlecht [single_line_text_field],Metafield: uhr.code [single_line_text_field]
sinn-chronograph-vollkalender-38mm-weiss-77990-automatik-p2162,Sinn Chronograph Vollkalender 38mm Weiß 77990 Automatik,A-90358,,38 mm,Edelstahl (Vergoldet),Weiß,Leder (Aftermarket von Kaufmann),Automatik,,Gut,Nur Papiere,Herren,HV-2162
tudor-black-bay-bucherer-blue-automatik-only-watch-p5069,Tudor Black Bay Bucherer Blue Automatik only watch,79250BB,,43 mm,Bronze,Blau,Textil,Automatik,Automatik (Manufakturwerk),Sehr gut,Nur Uhr,Herren,HV-5069
rolex-datejust-36-seltenes-zifferblatt-mit-diamanten-p4846,Rolex Datejust 36 seltenes Zifferblatt mit Diamanten,116234,2014,36 mm,Edelstahl,Silber,Edelstahl,,Rolex 3135,Gut,Full Set (Box & Papiere),Herren,HV-4846
patek-philippe-twenty-4-grau-damenuhr-p4808,Patek Philippe Twenty~4 Grau Damenuhr,4910/10A,2010,"25,1 x 30 mm",Edelstahl,Grau,Edelstahl,Quarz,Quarz E15,Gut,Nur Papiere,Damen,HV-4808
iwc-schaffhausen-portofino-automatic-40-zifferblatt-silber-p3771,IWC Schaffhausen Portofino Automatic 40 Zifferblatt silber,IW356517,2021,40 mm,Edelstahl,Silber,Leder,Automatik,,Sehr gut,Nur Uhr,Herren,HV-3771
omega-seamaster-diver-300-m-zifferblatt-blau-garantiekarte-p2446,Omega Seamaster Diver 300 M Zifferblatt Blau Garantiekarte,212.30.41.20.03.001,2009,41 mm,Edelstahl,Blau,Edelstahl,Automatik,,Gut,Full Set (Box & Papiere),Herren,HV-2446
breitling-superocean-heritage-46-p1226,Breitling Superocean Heritage 46,A1331212/BF78,2018,,Edelstahl,Schwarz,Edelstahl,Automatik,,Sehr gut,Full Set (Box & Papiere),,HV-1226
tag-heuer-carrera-chronograph-p9320,TAG Heuer Carrera Chronograph,CBN2A1B.BA0643,2020,44 mm,Edelstahl,Schwarz,Edelstahl,Automatik,,Sehr gut,Full Set (Box & Papiere),Herren,HV-9320
sinn-spezialuhren-chronograph-936-p9311,Sinn Spezialuhren Chronograph 936,936,2024,43 mm,Stahl,Schwarz,Leder,Automatik,,Sehr gut,Full Set (Box & Papiere),Herren,HV-9311
breitling-superocean-heritage-42-p9290,Breitling Superocean Heritage 42,A1732124/BA61,2016,,Edelstahl,Schwarz,Edelstahl,Automatik,,Sehr gut,Full Set (Box & Papiere),,HV-9290
